Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev,CV
DAL,SSP585,0.99,1.300479340312111,0.9855875847246374,2.034432955127785,32.84711,-96.85178,148.0,0.8065067532341021
CWC,SSP585,0.99,0.9650768563544708,0.5503329125188533,1.3596861346827602,33.85784,-98.4904,304.0,0.8386412095936048
MDD,SSP585,0.99,1.282068054150828,1.0596212767970958,1.8250705237394271,32.03653,-102.10103,854.0,0.5970426019618148
IAH,SSP585,0.99,1.24556089284342,0.8773097780814466,2.005600666104961,29.9844,-95.3607,28.0,0.9058496413192638
APY,SSP585,0.99,1.2988444202170932,0.777370743065221,1.8938873051019416,26.96879,-99.24891,128.6,0.8596230192451396
PKV,SSP585,0.99,1.4694178146494214,0.8980645712486142,3.524530235987231,28.654,-96.681,9.0,1.7874192340353838
DUX,SSP585,0.99,1.307990969938309,1.0313076297722892,2.2643700250126315,35.858,-102.013,1129.0,0.9427147614776724
DTO,SSP585,0.99,1.1864147703360814,0.9093573881010228,1.806348692783286,33.205,-97.2006,200.71758,0.7560520377103599
OCH,SSP585,0.99,1.2403629662330369,0.8431223761156289,1.8983870497872053,31.57778,-94.70944,108.0,0.8507708649802719
CRS,SSP585,0.99,0.6901687453469876,0.592791360386771,0.8173543793021197,32.03,-96.4,137.0,0.3253740776140883
HBV,SSP585,0.99,0.968963011229754,0.6361413612095594,1.8909585280582968,27.34956,-98.73694,202.0,1.295010389773489
XBP,SSP585,0.99,1.2876863523313788,0.9818809368260636,2.143350449038273,33.17533,-97.82839,259.7,0.901981689958388
LBX,SSP585,0.99,1.1964490547302304,0.9114983478153216,1.7979288927437886,29.10864,-95.46208,8.0,0.7408844876628158
RFI,SSP585,0.99,0.5206985524041305,0.3318986281060946,1.114137738019604,32.14172,-94.85172,134.7,1.5022878521590146
PEQ,SSP585,0.99,1.4444841208727022,1.0124995297451025,2.348881028547975,31.38,-103.51,796.0,0.9251617788608725
GLE,SSP585,0.99,1.0195348864655236,0.8176169848169682,1.440065921841203,33.65139,-97.19694,256.0,0.610522450273489
NQI,SSP585,0.99,0.9516712862116948,0.6923237448189332,1.4024758972071754,27.5072,-97.8097,15.0,0.746215802323022
PVW,SSP585,0.99,1.6387565047701658,1.0720709614149804,2.9137202470842647,34.16815,-101.71734,1028.0,1.123808985842942
NOG,SSP585,0.99,1.4704987798349607,1.047754614812244,2.627565874168872,27.90113,-98.05167,78.0,1.0743370079735366
HDO,SSP585,0.99,1.091890278415658,0.8321915468889158,1.626313036292583,29.35944,-99.17417,283.0,0.7272905575786829
JSO,SSP585,0.99,1.5468750398660502,0.9770394026671124,2.891299483237287,31.87,-95.22,206.0,1.2375014343343065
FWS,SSP585,0.99,1.1946454712619865,0.5745813135828585,1.8812462868653488,32.57297,-97.30332,208.02596,1.0937679878384086
GTU,SSP585,0.99,0.8993040910484761,0.6459872620520416,1.544205851150853,30.68083,-97.67666,240.0,0.9987929533953314
HRL,SSP585,0.99,1.2986457534665998,0.9566734851102964,1.9830284310068125,26.2285,-97.65439,11.0,0.7903271104970454
SPS,SSP585,0.99,1.205589460418918,0.9972067349893085,1.7549487617545183,33.9786,-98.4928,314.0,0.6285240968363391
CVB,SSP585,0.99,1.37565220881426,0.9888372377958662,1.8533994386370256,29.34192,-98.8509,235.0,0.6284744031242945
DHT,SSP585,0.99,1.0807947131746023,0.7647737221602755,1.264492624784472,36.02259,-102.54728,1216.0,0.4623624602644286
SAT,SSP585,0.99,1.1852178160141515,0.8783123410046242,2.0962310998883025,29.53369,-98.46978,242.0,1.0275906609128598
BPG,SSP585,0.99,1.065480311941211,0.8609038015550479,1.5338091632733897,32.21261,-101.52164,784.0,0.6315511926188178
EBG,SSP585,0.99,1.219918513149043,0.8763762721983628,2.149226641514455,26.44167,-98.12222,24.0,1.0433896654543042
BMQ,SSP585,0.99,1.0267003175642817,0.6724996239839051,1.526209029455964,30.73893,-98.23861,389.0,0.8315078809923601
RBD,SSP585,0.99,1.100239549842522,0.6643816266007463,1.789462513017535,32.68,-96.87,201.0,1.0225781163545906
ORG,SSP585,0.99,0.8795135345187892,0.5256982077962551,1.940888424383401,30.06918,-93.80361,4.0,1.6090601918496263
TPL,SSP585,0.99,0.5280519862590523,0.3938512100238414,0.7586233314043651,31.1525,-97.40778,208.0,0.6907882762921252
E38,SSP585,0.99,0.8060998820807682,0.547680188199359,1.1593742037425423,30.384,-103.684,1376.0,0.7588315407815601
OZA,SSP585,0.99,1.5005871648398277,0.4852673789457653,3.533864071631631,30.73528,-101.20297,725.7,2.031602538071337
JAS,SSP585,0.99,1.1549169442357492,0.8369416142078899,1.836285600483669,30.88569,-94.03494,65.0,0.8652951117078653
AUS,SSP585,0.99,0.9421862954497914,0.7486678359154411,1.136913100613686,30.19453,-97.66989,189.0,0.4120684694452067
DWH,SSP585,0.99,0.8043489762531547,0.5966765419603974,1.1147102057264493,30.06803,-95.55624,46.0,0.6440409313121447
GNC,SSP585,0.99,1.243137252043048,0.942860907991932,2.022131845324045,32.67533,-102.65267,1010.0,0.8681832481155022
CDS,SSP585,0.99,1.1016503000206082,0.8853236607395111,1.466993142002831,34.43389,-100.28806,595.0,0.527998296058594
CXO,SSP585,0.99,0.8099077940945214,0.5701748272436029,1.4858806446391777,30.35236,-95.41453,75.0,1.1306297137433228
DRT,SSP585,0.99,1.490198455347606,0.8327227910552258,3.360637440034935,29.37421,-100.92716,307.0,1.6963610718480069
TKI,SSP585,0.99,0.8516496399070101,0.5198652620190606,1.2449876305462788,33.18,-96.59,179.0,0.8514327189833519
GLS,SSP585,0.99,1.1099262676925437,0.8740373422487732,1.981863432818264,29.26533,-94.86042,16.0,0.9981078228489727
INK,SSP585,0.99,1.322342203306062,1.0912738746177433,1.823081716452701,31.78,-103.2,859.0,0.5534178974287622
BPT,SSP585,0.99,1.1581956458517784,0.9126825267390156,1.5574608521780406,29.95206,-94.02614,4.5784636,0.5567093329597453
LFK,SSP585,0.99,0.9569477633922444,0.7169309997705577,1.293219517782529,31.23401,-94.75,88.0,0.6022152306089414
BYY,SSP585,0.99,0.6938214887878329,0.5066530610698727,1.0334814314030825,28.97325,-95.86344,14.0,0.7593140005704135
0F2,SSP585,0.99,1.25984182471465,0.882922860122875,2.833435442162404,33.60167,-97.77556,335.6,1.5482202160428467
EDC,SSP585,0.99,1.2407682069079808,0.6609895773074006,1.9197226400837488,30.39255,-97.56213,187.5,1.0144788170492667
BAZ,SSP585,0.99,1.1767608826472222,0.9505041331840632,1.8145588932333991,29.709,-98.045,195.0,0.7342653658792365
LHB,SSP585,0.99,1.3162565138095172,1.015389775601781,1.90993275874678,30.87,-96.62,87.0,0.6796114387734407
HHF,SSP585,0.99,0.9286150757975866,0.6192488459531669,1.3967968093388714,35.895,-100.404,730.0,0.8373199872055376
ABI,SSP585,0.99,1.259572136361471,0.888974213467726,1.939137150294316,32.41063,-99.68209,544.9975,0.8337457669238366
DZB,SSP585,0.99,1.2551298209939488,0.7314856678191703,1.7965426127461497,30.52705,-98.35876,333.0,0.8485631741930496
MFE,SSP585,0.99,1.0113928599837108,0.7140320536184868,1.580004834095881,26.17583,-98.23861,33.0,0.8562180085899967
ACT,SSP585,0.99,1.0763884908331207,0.912571472111145,1.258496596126728,31.61797,-97.2283,155.0,0.3213757179323223
GVT,SSP585,0.99,1.075561279863378,0.5717719700612705,1.6618334179734473,33.06784,-96.06533,163.0,1.0134814894513873
GKY,SSP585,0.99,1.0279272805311952,0.7036366712181576,1.663399252851615,32.66386,-97.09428,192.0,0.9336872362580816
RYW,SSP585,0.99,0.9625761898121076,0.5826784727133877,1.3956836358501008,30.4967,-97.96589,375.2,0.8446138308235213
MWL,SSP585,0.99,1.4322467677937878,0.7763036785848247,2.270203184025146,32.78161,-98.06018,296.0,1.0430461698590547
RBO,SSP585,0.99,1.489746444337364,0.9707770761712502,2.768525214137358,27.77854,-97.69052,24.0,1.2067477286483757
AMA,SSP585,0.99,1.2390304046662814,0.8532439312004033,2.0831078969331016,35.21936,-101.70592,1099.0,0.9926019257485033
OSA,SSP585,0.99,0.738620926525496,0.5131174945484761,1.1289033044346186,33.09556,-94.96139,111.0,0.8336966741286697
ODO,SSP585,0.99,1.1312281536693454,0.8432402536667168,1.3632387902451817,31.92056,-102.38667,915.0,0.4596760917695997
